# gate	state	subject	evidence
PUBLIC_RELEASE	accepted	fix(release): require macOS no-login identities	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): fail closed on macOS identity reads	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): remove macOS service authentication	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): anchor Windows verifier process	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): stabilize macOS disabled identities	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): supply deterministic Windows spawn path	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): tolerate empty Windows fixture logs	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): parse macOS identity attributes safely	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): wait for broker before credential purge	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): normalize empty Windows fixture logs	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): keep Windows spy probes below process limits	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): load bundled Windows Python extensions	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): request portable desktop access	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): probe staged Windows Python	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): use the isolated service station	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): capture Windows uninstall receipts	scripts/test-public-launcher-release-contract.sh
PUBLIC_RELEASE	accepted	fix(release): publish annotated tag notes compatibly	scripts/test-public-launcher-release-contract.sh
CODEX_TURN_RECOVERY	accepted	fix(codex): recover stale active turns	server/packages/happy-cli/src/codex/codexAppServerClient.test.ts
PUBLIC_BOUNDARY	accepted	fix(public-boundary): pin legacy committer normalization	scripts/test-public-boundary.mjs
PUBLIC_BOUNDARY	accepted	fix(public-boundary): accept signed PR merges	scripts/test-public-boundary.mjs
DEVELOPMENT_CONTEXT	accepted	docs(dev): add development context	.dev/AGENTS.md
COMMUNITY_SURFACE	accepted	docs(project): publish community contracts	scripts/verify-community-contract.mjs
COMMANDER_AVATAR	accepted	feat(sessions): show Commander avatars	server/packages/happy-cli/src/agentContext/commanderContext.test.ts
COMMANDER_AVATAR	accepted	fix(app): display uploaded Commander avatars	server/packages/happy-server/sources/app/api/socket.test.ts
AUTOMATION_PROJECTS	accepted	feat(automations): organize schedules by tags	server/packages/happy-wire/src/automation.test.ts
MESSAGE_QUEUE_VIEW	accepted	feat(chat): show queued messages separately	server/packages/happy-cli/src/utils/MessageQueue2.test.ts
WORKSPACE_CONTEXT	accepted	feat(workspace): complete file and folder context	server/packages/happy-wire/src/workspaceUpload.test.ts
RELEASE_IMAGE	accepted	fix(release): scope server image dependency installation	scripts/test-component-deployment-contract.sh
COMPONENT_DEPLOYMENT	accepted	refactor(release): restore component-native deployment	scripts/test-component-deployment-contract.sh
AUTOMATION_REFRESH	accepted	fix(automations): stop heartbeat-driven reloads	server/packages/happy-app/sources/components/AutomationsScreen.test.ts
COMPONENT_DEPLOYMENT	accepted	fix(daemon): render Linux bootstrap user (#116)	scripts/test-component-deployment-contract.sh
AUTOMATION_PROJECT_SELECTOR	accepted	fix(automations): move machine selection into projects	server/packages/happy-app/sources/components/AutomationsScreen.test.ts
COMPONENT_DEPLOYMENT	accepted	fix(deploy): use platform-managed server volume	scripts/test-component-deployment-contract.sh
COMMANDER_AVATAR	accepted	feat(commanders): configure profile pictures	server/packages/happy-app/sources/utils/commanderAvatarUpload.test.ts
WORKSPACE_FILE_EDIT	accepted	fix(workspace): edit text files regardless of name	server/packages/happy-app/sources/utils/filePreview.test.ts
WORKSPACE_LINKS	accepted	feat(workspace): open live links with viewer feedback	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve viewer feedback intent	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): complete live link handoff	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): retain strict feedback until delivery	server/packages/happy-app/sources/sync/sendMessageLocalBatch.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve live viewer context	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): enforce live viewer delivery boundaries	server/packages/happy-app/sources/sync/strictOutboxBatchTracker.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve linked feedback navigation	server/packages/happy-app/sources/components/chatLatestNavigation.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): complete link parsing and layout continuity	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): block native viewer dismissal	server/packages/happy-app/sources/-session/workspaceLinkNavigation.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): close final delivery edge cases	server/packages/happy-app/sources/sync/strictOutboxBatchTracker.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): reject stale feedback preparation	server/packages/happy-app/sources/sync/sendMessageLocalBatch.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve ordinary attachment delivery	server/packages/happy-app/sources/sync/sendMessageLocalBatch.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve exact live navigation	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): pin exact feedback focus	server/packages/happy-app/sources/components/ChatList.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): close exact-link review gaps	server/packages/happy-app/sources/components/ChatList.native.test.ts
WORKSPACE_LINKS	accepted	fix(workspace): preserve live link context and state	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
SESSION_DECISION_INBOX	accepted	feat(sessions): make Home a flat decision inbox	server/packages/happy-app/sources/utils/flatSessionList.test.ts
EXACT_DAEMON_ROUTING	accepted	fix(sessions): pin new work to the exact daemon	server/packages/happy-app/sources/utils/newSessionPickerItems.test.ts
UPSTREAM_SYNC_AUTOMATION	accepted	ci(upstream): add daily reviewed sync	docs/upstream-sync-2026-08-24.md
LOCAL_INSTALLER	accepted	feat(installer): simplify local-first setup	scripts/test-public-launcher-release-contract.sh
COMMANDER_STATUS_AVATAR	accepted	feat(sessions): add Commander status avatars	server/packages/happy-app/sources/utils/sessionStatusAvatar.test.ts
UPSTREAM_SYNC_EVIDENCE	accepted	docs(upstream): record audited sync evidence	docs/upstream-sync-2026-08-24.md
PUBLIC_TEST_FIXTURES	accepted	test(public): generalize imported home-path fixtures	scripts/verify-public-boundary.mjs
PUBLIC_LAUNCHER_CONTRACT	accepted	test(release): decouple launcher and runtime versions	scripts/test-public-launcher-release-contract.sh
EXACT_DAEMON_ROUTING	accepted	fix(app): inject model catalog translations	server/packages/happy-app/sources/components/modelModeOptions.test.ts
UI_SURFACE_INVENTORY	accepted	chore(app): refresh UI surface inventory	server/packages/happy-app/scripts/generate-ui-surface-inventory.mjs
UPSTREAM_SYNC_REVIEW	accepted	fix(sync): close exact-head review gaps	docs/upstream-sync-2026-08-24.md
UPSTREAM_SYNC_NATIVE_PROPOSAL	accepted	chore(upstream): replace GitHub sync automation	scripts/test-upstream-proposal-ownership.sh
AUTOMATION_NO_TIMEOUT	accepted	feat: support unbounded automation runs	server/packages/happy-cli/src/daemon/run.automation.test.ts
SESSION_UI_STATE	accepted	fix(app): prevent machine blink and show archive progress	server/packages/happy-app/sources/sync/machinePresence.test.ts
AUTOMATIONS_PROFILING	accepted	feat(metrics): profile automations page latency	docs/automations-profiling.md
SESSION_HEARTBEAT	accepted	feat(automations): support resumable session heartbeats	server/packages/happy-cli/src/automations/service.test.ts
AUTOMATION_NO_TIMEOUT	accepted	fix(automations): remove run deadlines (6a8db5ad)	server/packages/happy-cli/src/codex/runCodex.automation.test.ts
PUBLIC_LAUNCHER_CONTRACT	accepted	feat(cli): forward native Happy commands	server/packages/happy-cli/package.json
PUBLIC_LAUNCHER_CONTRACT	accepted	fix(cli): retain governed version precedence	server/packages/happy-cli/package.json
AUTOMATION_NO_TIMEOUT	accepted	fix(automations): preserve legacy timed-out history	server/packages/happy-cli/src/automations/store.test.ts
AUTOMATIONS_PROFILING	accepted	fix(metrics): bound external label values	server/packages/happy-server/sources/app/monitoring/metrics2.test.ts
RUNTIME_CONTRACT	accepted	feat(grok): add ACP-backed GrokBuild sessions	server/packages/happy-cli/src/agent/acp/acpAgentConfig.test.ts
PUBLIC_RELEASE	accepted	docs(release): record AgentWork delivery	server/packages/happy-app/CHANGELOG.md
SESSION_UI_STATE	accepted	test(app): stabilize session info archive coverage	server/packages/happy-app/sources/app/(app)/session/[id]/info.archive.test.ts
RUNTIME_CONTRACT	accepted	fix(grok): isolate capability probe failures	server/packages/happy-cli/src/capabilities/agentCapabilities.test.ts
SESSION_HEARTBEAT	accepted	fix(heartbeat): preserve readiness and status semantics	server/packages/happy-cli/src/automations/service.test.ts
UI_SURFACE_INVENTORY	accepted	chore(app): refresh heartbeat UI inventory	server/packages/happy-app/scripts/generate-ui-surface-inventory.mjs
RUNTIME_CONTRACT	accepted	feat(grok): expose native launch permission modes	server/packages/happy-cli/src/capabilities/agentCapabilities.test.ts
AUTOMATIONS_PROFILING	accepted	fix(metrics): preserve production summary recording	server/packages/happy-server-self-host/scripts/build-runtime.cjs
COMPONENT_DEPLOYMENT	accepted	fix(deploy): clean HappyHerd Docker artifacts	scripts/test-component-deployment-contract.sh
RETIRED_AGENT_REMOVAL	accepted	refactor(agents): remove retired provider support	server/packages/happy-cli/src/index.ts
TEST_TEMP_CLEANUP	accepted	test(cli): remove temporary test homes	server/packages/happy-cli/src/automations/sessionBootstrap.test.ts
DEVELOPMENT_PRINCIPLES	accepted	docs(dev): record project development principles	.dev/AGENTS.md
DEVELOPMENT_CONTEXT	accepted	docs(agents): explain generic development context loading	AGENTS.md
COMMANDER_PICKER_SCROLL	accepted	fix(app): keep commander picker scrollable	server/packages/happy-app/sources/utils/newSessionSidebarLayout.test.ts
VOICE_UPGRADE_PROMPT_REMOVAL	accepted	chore(app): remove voice upgrade prompt	server/packages/happy-app/sources/voiceSettingsRoute.test.ts
WORKSPACE_LINKS	accepted	fix(app): render linked workspace images	server/packages/happy-app/sources/utils/markdownWorkspaceImage.test.ts
PROVIDER_DEFAULTS	accepted	fix(app): cover all provider defaults	server/packages/happy-app/sources/sync/agentDefaults.test.ts
CLI_MACHINE_SESSION	accepted	feat(cli): create sessions on selected machines	server/packages/happy-cli/src/commands/machine.test.ts
SIDE_CHAT_CLI	accepted	feat(cli): create coordinated child side chats	server/packages/happy-cli/src/commands/sideChat.test.ts
SIDE_CHAT_LIFECYCLE	accepted	feat(cli): complete side-chat lifecycle	server/packages/happy-cli/src/daemon/sideChatLifecycle.test.ts
MULTIAGENT_DELEGATION	accepted	feat(cli): deliver bounded side-chat delegation briefs	server/packages/happy-cli/src/commands/sideChat.test.ts
POST_UPDATE_RESTART	accepted	docs(dev): document post-update restart order	.dev/playbooks/post-update-restart.md
PATCH_DISCIPLINE	accepted	fix(ci): validate nested structural PR merges	scripts/test-owned-merge-provenance.sh
SIDE_CHAT_LOCAL_AUTH	accepted	fix(cli): reuse local daemon auth for side chats	server/packages/happy-cli/src/commands/machine.test.ts
SIDE_CHAT_LOCAL_AUTH_VERIFY	accepted	docs(cli): verify local side-chat authentication	.dev/VERIFY.md
SECURITY_FEATURE_APPROVAL	accepted	docs(dev): require TickTick approval for security features	.dev/playbooks/security-feature-approval.md
DEV_CONTEXT_CI_BYPASS	accepted	ci: skip suites for development-context-only changes	.github/workflows/quality-gates.yml
AUTOMATION_UNATTENDED	accepted	fix(automations): enforce unattended execution lifecycle	server/packages/happy-cli/src/automations/unattendedPolicy.test.ts
SUBAGENT_LIFECYCLE	accepted	fix(subagents): trust provider lifecycle state	server/packages/happy-cli/src/codex/__tests__/sessionProtocolMapper.test.ts
AGENT_MEDIA	accepted	fix(media): preserve agent images and unify attachments	server/packages/happy-cli/src/sessionProtocol/providerOutputImages.test.ts
COMMANDER_AVATAR_GATE	accepted	fix(app): gate commander profile image loading	server/packages/happy-app/sources/components/SessionStatusAvatar.test.ts
PROVIDER_CONFORMANCE	accepted	fix(acp): preserve permission and tool contracts	server/packages/happy-cli/src/agent/acp/sessionUpdateHandlers.test.ts
PROVIDER_RESUME_POLICY	accepted	fix(grok): preserve permission policy on resume	server/packages/happy-cli/src/daemon/run.resume.test.ts
PROVIDER_RESUME_AUTHORITY	accepted	fix(grok): make persisted resume policy authoritative	server/packages/happy-cli/src/daemon/run.resume.test.ts
LATE_CHILD_IMAGE_OWNERSHIP	accepted	fix(media): preserve late child image ownership	server/packages/happy-cli/src/claude/utils/sessionProtocolMapper.test.ts
BLOB_TEST_TIMEOUT	accepted	test(app): stabilize large blob encryption coverage	server/packages/happy-app/sources/encryption/blob.test.ts
ACP_SPLIT_TOOL_UPDATES	accepted	fix(acp): preserve split tool updates	server/packages/happy-cli/src/agent/acp/sessionUpdateHandlers.test.ts
APP_TOOL_REPLAY_ORDER	accepted	fix(app): make tool replay order-independent	server/packages/happy-app/sources/sync/reducer/reducer.spec.ts
ACP_INDEPENDENT_OUTCOMES	accepted	fix(acp): preserve independent outcome fields	server/packages/happy-cli/src/agent/acp/sessionUpdateHandlers.test.ts
APP_TOOL_REPLAY_SEQUENCE	accepted	fix(app): order equal-time tool replays by sequence	server/packages/happy-app/sources/sync/reducer/reducer.spec.ts
PROVIDER_RESUME_VALIDATION	accepted	fix(grok): reject unvalidated resume policy	server/packages/happy-cli/src/daemon/run.resume.test.ts
APP_TOOL_PAGED_RESULT	accepted	fix(app): reconcile paged tool results	server/packages/happy-app/sources/sync/reducer/reducer.spec.ts
APP_TOOL_PAGED_AUTHORITY	accepted	fix(app): preserve authoritative paged tool result	server/packages/happy-app/sources/sync/reducer/reducer.spec.ts
BUNDLED_RUNTIME_SYNC	accepted	fix(cli): sync bundled Happy before wrapper tests	server/packages/happy-cli/package.json
UPSTREAM_REVIEW_FIX	accepted	fix(upstream): address integration review findings	server/packages/happy-app/sources/-session/SessionView.tsx
SIDE_CHAT_RENDER	accepted	test(app): cover side-chat rendering hosts	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
ATTACHMENT_PICKER_UI	accepted	fix(app): present attachment choices in-app (#159)	server/packages/happy-app/sources/components/AttachmentInputButton.test.ts
GROK_PERMISSION_TRANSITION	accepted	feat(grok): switch active permission modes	server/packages/happy-cli/src/daemon/run.resume.test.ts
CREDENTIAL_POOL	accepted	feat(cli): add reactive credential account rotation	server/packages/happy-cli/src/credentialPool/rotation.test.ts
CREDENTIAL_POOL	accepted	fix(credentials): complete native credential pool follow-ups	server/packages/happy-cli/src/credentialPool/rotation.test.ts
OPENAI_SESSION_DICTATION	accepted	fix(app): restore OpenAI composer dictation (#171)	server/packages/happy-app/sources/-session/SessionView.tsx
HUMAN_SIDE_CHAT_CREATION	accepted	fix(side-chats): restore Human creation flow (#170)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
HUMAN_ONE_CLICK_SIDE_CHAT	accepted	fix(side-chats): restore one-click Human creation (#170)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
SIDE_CHAT_DESKTOP_PARITY	accepted	fix(side-chats): name and verify desktop side chats	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
AUTOMATIONS_MASTER_DETAIL	accepted	feat(automations): add compact master-detail view (#178)	server/packages/happy-app/sources/app/(app)/automations/index.tsx
AUTOMATIONS_MASTER_DETAIL_POLISH	accepted	fix(automations): polish master-detail presentation (#178)	server/packages/happy-app/sources/components/happyHerdAutomationPresentation.ts
AUTOMATIONS_HEARTBEAT_CADENCE	accepted	fix(automations): preserve exact heartbeat cadence (#178)	server/packages/happy-app/sources/components/happyHerdAutomationPresentation.ts
AGENTWORK_ADAPTER_REGISTRY	accepted	chore(integration): register AgentWork delivery adapters	docs/owned-patches.tsv
WORKSPACE_FILE_EDIT	accepted	feat(workspace): edit linked files in place	server/packages/happy-app/sources/components/FileViewPanel.native.test.ts
WORKSPACE_LINK_DIRTY_GUARD	accepted	fix(workspace): preserve unsaved linked-file edits (#177)	server/packages/happy-app/sources/components/WorkspaceLinkViewer.native.test.ts
DEDICATED_DICTATION_CONTROL	accepted	fix(app): separate dictation from Send (#179)	server/packages/happy-app/sources/components/voiceDictationControl.test.ts
CONFIGURED_DICTATION_COMPOSERS	accepted	fix(app): expose configured dictation across composers (#179)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
DICTATION_DRAFT_RESUME_REPAIR	accepted	fix(app): harden configured dictation composers (#179)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
DICTATION_HEARTBEAT_DRAFT_REPAIR	accepted	fix(app): preserve late dictation after heartbeat sends (#179)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
DESKTOP_FILE_WORKSPACE	accepted	feat(app): add desktop multi-file workspace (#181)	server/packages/happy-app/sources/components/DesktopFileWorkspace.test.ts
DESKTOP_FILE_WORKSPACE_NAVIGATION	accepted	fix(app): retain file workspace navigation controls (#181)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
MOBILE_SESSION_BACK	accepted	fix(app): make mobile session back deterministic (#180)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
MOBILE_SESSION_BACK_DESKTOP	accepted	fix(app): preserve desktop session back semantics (#180)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
MOBILE_SESSION_BACK_RESPONSIVE	accepted	fix(app): align mobile back with responsive layout (#180)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
MOBILE_SESSION_BACK_INVENTORY	accepted	chore(app): refresh mobile back UI inventory (#180)	server/packages/happy-app/sources/text/ui-surface-inventory.json
PROVIDER_PERMISSION_CONTRACT	accepted	fix(providers): preserve permission contracts	server/packages/happy-cli/src/claude/utils/permissionHandler.test.ts
AGENTWORK_177_ADAPTER	accepted	chore(integration): prepare file editor merge adapter (#177)	docs/owned-patches.tsv
AGENTWORK_179_ADAPTER	accepted	chore(integration): prepare dictation merge adapter (#179)	docs/owned-patches.tsv
AGENTWORK_181_ADAPTER	accepted	chore(integration): prepare desktop workspace merge adapter (#181)	docs/owned-patches.tsv
AGENTWORK_180_ADAPTER	accepted	chore(integration): prepare mobile navigation merge adapter (#180)	docs/owned-patches.tsv
AGENTWORK_UI_RECONCILIATION	accepted	fix(app): reconcile AgentWork UI delivery	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
DESKTOP_FILE_WORKSPACE_INTERACTIONS	accepted	fix(app): repair desktop workspace interactions (#181)	server/packages/happy-app/sources/components/DesktopFileWorkspace.test.ts
SIDE_CHAT_PANEL_OWNERSHIP	accepted	fix(app): scope side chat panels to their parent (#160)	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
DESKTOP_FILE_WORKSPACE_COMPLETE	accepted	fix(app): complete file workspace interactions (#181)	server/packages/happy-app/sources/components/desktopWorkspace.browser.test.ts
DESKTOP_FILE_WORKSPACE_STATE_RETENTION	accepted	test(app): cover workspace state through resize	server/packages/happy-app/sources/components/desktopWorkspace.browser.test.ts
DESKTOP_FILE_WORKSPACE_NAV_RETENTION	accepted	test(app): integrate navigation retention coverage	server/packages/happy-app/sources/components/desktopWorkspace.browser.test.ts
DESKTOP_FILE_WORKSPACE_LINKS	accepted	fix(app): unify session file workspaces (#181)	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
DESKTOP_FILE_WORKSPACE_PATCH_MANIFEST	accepted	chore(integration): register workspace verification patches	docs/owned-patches.tsv
WORKSPACE_UNIFICATION	accepted	feat(workspace): unify chat and machine files	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
SERVER_IMAGE_CLEANUP_TIMEOUT	accepted	fix(deploy): tolerate builder cleanup timeout	scripts/test-component-deployment-contract.sh
RESPONSIVE_WORKSPACE_ACCESS	accepted	fix(app): expose responsive workspace controls	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
RESPONSIVE_WORKSPACE_SESSION_CONTEXT	accepted	fix(app): bind responsive workspaces to active sessions	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
WORKSPACE_IMAGE_RECOVERY	accepted	fix(app): recover inline workspace images	server/packages/happy-app/sources/components/markdown/MarkdownView.workspaceLinks.test.ts
COMMANDER_SESSION_CLI	accepted	feat(commanders): reassign sessions from the CLI	server/packages/happy-cli/src/commands/machine.test.ts
PROVIDER_CONTINUATION_MOCK	accepted	docs(mock): explain cross-provider continuation	docs/mocks/happyherd-provider-continuation/index.html
PROVIDER_CONTINUATION_MOCK_V2	accepted	docs(mock): simplify cross-provider continuation	docs/mocks/happyherd-provider-continuation/index.html
PROVIDER_CONTINUATION	accepted	feat(sessions): continue across Claude and Codex	server/packages/happy-app/sources/utils/providerContinuation.test.ts
AUTOMATION_EXEC	accepted	feat(automations): add direct exec rail	server/packages/happy-cli/src/automations/service.test.ts
CLI_PUBLIC_COMMAND	accepted	chore: migrate CLI to public @happyherd/cli package and happyherd command	scripts/verify-cli-public-command.mjs
CLI_PUBLIC_COMMAND	accepted	fix: build happy-agent before CLI typecheck, pack smoke, and install	scripts/verify-cli-public-command.mjs
CLI_PUBLIC_COMMAND	accepted	fix: build @slopus/happy-wire then happy-agent before cli and assert order	scripts/verify-cli-public-command.mjs
WEB_COMPOSER_UX_DOCS	accepted	docs(app): document unified Web composer UX (#204)	server/packages/happy-app/CHANGELOG.md
WORKSPACE_FEEDBACK_CONTAINMENT	accepted	fix(workspace): contain multiline feedback input	server/packages/happy-app/sources/components/WorkspaceFeedbackComposer.tsx
WEB_COMPOSER_ACTIONS	accepted	feat(app): consolidate web composer actions	server/packages/happy-app/sources/components/AgentInput.tsx
WEB_COMPOSER_RELEASE_ARTIFACTS	accepted	chore(app): register composer UX release artifacts (#204)	server/packages/happy-app/sources/changelog/changelog.json
ABSOLUTE_FILE_LINK_MACHINE_TRANSPORT	accepted	fix(app): open explicit file links across machine paths (#206)	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
ABSOLUTE_FILE_LINK_DIRTY_PRESERVATION	accepted	fix(app): preserve dirty tabs during file-link upgrades (#206)	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
WORKSPACE_CONTEXT_UNIFICATION	accepted	feat(app): attach context from embedded workspace	server/packages/happy-app/sources/app/(app)/workspace/index.embedded.test.ts
WORKSPACE_CONTEXT_UNIFICATION	accepted	test(app): cover unified workspace actions	server/packages/happy-app/sources/-session/SessionView.sideChat.test.ts
WORKSPACE_CONTEXT_UNIFICATION	accepted	test(workspace): cover unified Human entry	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
WORKSPACE_UNIFICATION	accepted	docs(workspace): document unified Workspace contract	.dev/playbooks/file-workspaces.md
